N190763912, 彰化縣 女性
Z186124023, 連江縣 女性
L238888123, 臺中縣 女性
B159129290, 臺中市 男性
V286064978, 台東縣 女性
E180500808, 高雄市 女性
N105753697, 彰化縣 女性
M270905960, 南投縣 男性
A293360165, 台北市 女性
Y118468374, 陽明山管理局 男性
A162083640, 台北市 女性
S222661907, 高雄縣 女性
H157327383, 桃園縣 女性
O172131781, 新竹市 女性
H110658696, 桃園縣 女性
L270448058, 臺中縣 女性
H144474113, 桃園縣 女性
S154902524, 高雄縣 女性
Q231911329, 嘉義縣 女性
S240947026, 高雄縣 女性
F246291792, 新北市 女性
H255220285, 桃園縣 女性
O200114845, 新竹市 女性
E149119981, 高雄市 女性
R283396184, 台南縣 女性
X283527852, 澎湖縣 女性
A102085682, 台北市 女性
J231952754, 新竹縣 女性
S277730939, 高雄縣 女性
O126822546, 新竹市 女性
U180209863, 花蓮縣 女性
D102686299, 台南市 女性
I204709287, 嘉義市 女性
D253771454, 台南市 女性
C256446724, 基隆市 女性
Q278643844, 嘉義縣 女性
I249175952, 嘉義市 女性
